time,flowId,throughput_mbps,delay_ms,jitter_ms,lost_packets
0.5,1,10.1069,0.814696,0.11625,0
0.5,2,10.1376,0.932104,0.119545,0
0.5,3,10.1683,0.858742,0.119537,0
0.5,4,48.0256,29.3269,0.143748,0
0.5,5,47.9232,29.2228,0.14256,0
0.5,6,48.128,29.2782,0.142485,0
0.6,1,10.1888,0.28053,0.031355,0
0.6,2,10.24,0.921783,0.12,0
0.6,3,10.24,0.84482,0.12,0
0.6,4,52.5312,77.491,0.138986,0
0.6,5,52.5312,77.3453,0.138986,0
0.6,6,52.5312,77.4859,0.138986,0
0.7,1,9.17504,0.276625,0.0304229,0
0.7,2,10.24,0.921765,0.12,0
0.7,3,10.24,0.844838,0.120018,0
0.7,4,52.5312,126.19,0.138986,0
0.7,5,52.6336,126.093,0.138911,0
0.7,6,52.5312,126.189,0.139021,0
0.8,1,10.1888,0.28053,0.031355,0
0.8,2,10.24,0.921748,0.12,0
0.8,3,10.24,0.844784,0.12,0
0.8,4,52.4288,169.167,0.522852,0
0.8,5,52.4288,168.728,0.522586,0
0.8,6,52.4288,168.389,0.522656,0
0.9,1,10.1888,0.28053,0.031355,0
0.9,2,0.1024,0.921426,0.12,0
0.9,3,0.07168,0.839284,0.118878,0
0.9,4,2.56,3.45143,0.134714,0
0.9,5,2.6624,3.49052,0.131181,0
0.9,6,2.56,3.50571,0.131857,0
