time,flowId,throughput_mbps,delay_ms,jitter_ms,lost_packets,sinr_db,rsrp_dbm,packet_loss_rate
0.5,1,10.2195,0.276811,0.0301907,0,44.8625,-140,0
0.5,2,101.376,0.923898,0.119437,0,44.8625,-140,0
0.6,1,10.24,0.275891,0.03,0,44.8625,-140,0
0.6,2,102.4,0.896426,0.12,0,44.8625,-140,0
0.7,1,10.24,0.275891,0.03,0,44.8625,-140,0
0.7,2,102.4,0.896426,0.12,0,44.8625,-140,0
0.8,1,10.24,0.275891,0.03,0,44.8625,-140,0
0.8,2,102.4,0.896426,0.12,0,44.8625,-140,0
0.9,1,10.24,0.275891,0.03,0,44.8625,-140,0
0.9,2,102.4,0.896426,0.12,0,44.8625,-140,0
1,1,10.24,0.275891,0.03,0,44.8625,-140,0
1,2,102.4,0.896426,0.12,0,44.8625,-140,0
1.1,1,10.24,0.275891,0.03,0,44.8625,-140,0
1.1,2,102.4,0.896426,0.12,0,44.8625,-140,0
1.2,1,10.24,0.275891,0.03,0,44.8625,-140,0
1.2,2,102.4,0.896426,0.12,0,44.8625,-140,0
1.3,1,10.24,0.275891,0.03,0,44.8625,-140,0
1.3,2,102.4,0.896426,0.12,0,44.8625,-140,0
1.4,1,10.24,0.275891,0.03,0,44.8625,-140,0
1.4,2,102.4,0.896426,0.12,0,44.8625,-140,0
1.5,1,10.24,0.275891,0.03,0,44.8625,-140,0
1.5,2,102.4,0.896426,0.12,0,44.8625,-140,0
1.6,1,10.24,0.275891,0.03,0,44.8625,-140,0
1.6,2,102.4,0.896426,0.12,0,44.8625,-140,0
1.7,1,10.24,0.275891,0.03,0,44.8625,-140,0
1.7,2,102.4,0.896426,0.12,0,44.8625,-140,0
1.8,1,10.24,0.275891,0.03,0,44.8625,-140,0
1.8,2,102.4,0.896426,0.12,0,44.8625,-140,0
1.9,1,10.24,0.275891,0.03,0,44.8625,-140,0
1.9,2,102.4,0.896426,0.12,0,44.8625,-140,0
2,1,10.24,0.275891,0.03,0,44.8625,-140,0
2,2,102.4,0.896426,0.12,0,44.8625,-140,0
2.1,1,10.24,0.275891,0.03,0,44.8625,-140,0
2.1,2,102.4,0.896426,0.12,0,44.8625,-140,0
2.2,1,10.24,0.275891,0.03,0,44.8625,-140,0
2.2,2,102.4,0.896426,0.12,0,44.8625,-140,0
2.3,1,10.24,0.275891,0.03,0,44.8625,-140,0
2.3,2,102.4,0.896426,0.12,0,44.8625,-140,0
2.4,1,10.24,0.275891,0.03,0,44.8625,-140,0
2.4,2,102.4,0.896426,0.12,0,44.8625,-140,0
2.5,1,10.24,0.275891,0.03,0,44.8625,-140,0
2.5,2,102.4,0.896426,0.12,0,44.8625,-140,0
2.6,1,10.24,0.275891,0.03,0,44.8625,-140,0
2.6,2,102.4,0.896426,0.12,0,44.8625,-140,0
2.7,1,10.24,0.275891,0.03,0,44.8625,-140,0
2.7,2,102.4,0.896426,0.12,0,44.8625,-140,0
2.8,1,10.24,0.275891,0.03,0,44.8625,-140,0
2.8,2,102.4,0.896426,0.12,0,44.8625,-140,0
2.9,1,10.24,0.275891,0.03,0,44.8625,-140,0
2.9,2,102.4,0.896426,0.12,0,44.8625,-140,0
3,1,10.24,0.275891,0.03,0,44.8625,-140,0
3,2,102.4,0.896426,0.12,0,44.8625,-140,0
3.1,1,10.24,0.275891,0.03,0,44.8625,-140,0
3.1,2,102.4,0.896426,0.12,0,44.8625,-140,0
3.2,1,10.24,0.275891,0.03,0,44.8625,-140,0
3.2,2,102.4,0.896426,0.12,0,44.8625,-140,0
3.3,1,10.24,0.275891,0.03,0,44.8625,-140,0
3.3,2,102.4,0.896426,0.12,0,44.8625,-140,0
3.4,1,10.24,0.275891,0.03,0,44.8625,-140,0
3.4,2,102.4,0.896426,0.12,0,44.8625,-140,0
3.5,1,10.24,0.275891,0.03,0,44.8625,-140,0
3.5,2,102.4,0.896426,0.12,0,44.8625,-140,0
3.6,1,10.24,0.275891,0.03,0,44.8625,-140,0
3.6,2,102.4,0.896426,0.12,0,44.8625,-140,0
3.7,1,10.24,0.275891,0.03,0,44.8625,-140,0
3.7,2,102.4,0.896426,0.12,0,44.8625,-140,0
3.8,1,10.24,0.275891,0.03,0,44.8625,-140,0
3.8,2,102.4,0.896426,0.12,0,44.8625,-140,0
3.9,1,10.24,0.275891,0.03,0,44.8625,-140,0
3.9,2,102.4,0.896426,0.12,0,44.8625,-140,0
4,1,10.24,0.275891,0.03,0,44.8625,-140,0
4,2,102.4,0.896426,0.12,0,44.8625,-140,0
4.1,1,10.24,0.275891,0.03,0,44.8625,-140,0
4.1,2,102.4,0.896426,0.12,0,44.8625,-140,0
4.2,1,10.24,0.275891,0.03,0,44.8625,-140,0
4.2,2,102.4,0.896426,0.12,0,44.8625,-140,0
4.3,1,10.24,0.275891,0.03,0,44.8625,-140,0
4.3,2,102.4,0.896426,0.12,0,44.8625,-140,0
