time,flowId,throughput_mbps,delay_ms,jitter_ms,lost_packets,sinr_db,rsrp_dbm,packet_loss_rate,handover_count
0.5,1,10.1069,0.814696,0.11625,0,41.1172,-140,0,1
0.5,2,10.1376,0.932104,0.119545,0,41.1172,-140,0,1
0.5,3,10.1683,0.858742,0.119537,0,41.1172,-140,0,1
0.5,4,48.0256,29.3269,0.143748,0,41.1172,-140,0,1
0.5,5,47.9232,29.2228,0.14256,0,41.1172,-140,0,1
0.5,6,48.128,29.2782,0.142485,0,41.1172,-140,0,1
0.6,1,10.24,0.275891,0.03,0,41.1172,-140,0,0
0.6,2,10.24,0.921783,0.12,0,41.1172,-140,0,0
0.6,3,10.24,0.84482,0.12,0,41.1172,-140,0,0
0.6,4,52.5312,77.491,0.138986,0,41.1172,-140,0,0
0.6,5,52.5312,77.3453,0.138986,0,41.1172,-140,0,0
0.6,6,52.5312,77.4859,0.138986,0,41.1172,-140,0,0
0.7,1,10.24,0.275891,0.03,0,41.1172,-140,0,0
0.7,2,10.24,0.921783,0.12,0,41.1172,-140,0,0
0.7,3,10.24,0.84482,0.12,0,41.1172,-140,0,0
0.7,4,52.5312,126.18,0.138986,0,41.1172,-140,0,0
0.7,5,52.6336,126.081,0.138911,0,41.1172,-140,0,0
0.7,6,52.5312,126.175,0.138986,0,41.1172,-140,0,0
0.8,1,10.24,0.275891,0.03,0,41.1172,-140,0,0
0.8,2,10.24,0.921676,0.12,0,41.1172,-140,0,0
0.8,3,10.24,0.844766,0.12,0,41.1172,-140,0,0
0.8,4,52.5312,168.736,0.521429,0,41.1172,-140,0,0
0.8,5,52.5312,168.303,0.521651,0,41.1172,-140,0,0
0.8,6,52.4288,168.29,0.522586,0,41.1172,-140,0,0
0.9,1,10.24,0.275891,0.03,0,41.1172,-140,0,0
0.9,2,10.24,0.921873,0.12,0,41.1172,-140,0,0
0.9,3,10.24,0.844909,0.12,0,41.1172,-140,0,0
0.9,4,52.5312,26.9457,0.138986,0,41.1172,-140,0,0
0.9,5,52.5312,26.9139,0.138986,0,41.1172,-140,0,0
0.9,6,52.5312,26.8614,0.138986,0,41.1172,-140,0,0
1,1,10.1888,0.282783,0.0327584,0,41.1172,-140,0,1
1,2,10.24,0.921873,0.12,0,41.1172,-140,0,1
1,3,10.24,0.844909,0.12,0,41.1172,-140,0,1
1,4,52.5312,75.634,0.138986,0,41.1172,-140,0,1
1,5,52.5312,75.6037,0.138986,0,41.1172,-140,0,1
1,6,52.5312,75.5509,0.138986,0,41.1172,-140,0,1
1.1,1,10.24,0.275891,0.03,0,41.1172,-140,0,0
1.1,2,0.1024,0.91964,0.121786,0,41.1172,-140,0,0
1.1,3,0.07168,0.844386,0.12398,0,41.1172,-140,0,0
1.1,4,62.976,119.274,0.13252,0,41.1172,-140,0,0
1.1,5,62.976,119.226,0.132468,0,41.1172,-140,0,0
1.1,6,63.0784,119.203,0.132497,0,41.1172,-140,0,0
1.2,1,10.24,0.275891,0.03,0,43.0847,-140,0,0
1.2,2,0,0,0,0,43.0847,-140,0,0
1.2,3,0,0,0,0,43.0847,-140,0,0
1.2,4,39.424,150.371,0.132189,0,43.0847,-140,0,0
1.2,5,39.3216,150.289,0.132422,0,43.0847,-140,0,0
1.2,6,39.2192,150.27,0.132413,0,43.0847,-140,0,0
1.3,1,10.24,0.275891,0.03,0,41.1172,-140,0,0
1.3,2,10.9261,21.1316,0.485892,0,41.1172,-140,0,0
1.3,3,10.9568,20.999,0.48489,0,41.1172,-140,0,0
1.3,4,51.6096,36.4096,0.621046,0,41.1172,-140,0,0
1.3,5,51.5072,36.6549,0.622586,0,41.1172,-140,0,0
1.3,6,51.6096,36.6212,0.620968,0,41.1172,-140,0,0
1.4,1,10.24,0.275891,0.03,0,41.1172,-140,0,0
1.4,2,10.24,0.921783,0.12,0,41.1172,-140,0,0
1.4,3,10.24,0.84482,0.12,0,41.1172,-140,0,0
1.4,4,52.5312,69.6745,0.138986,0,41.1172,-140,0,0
1.4,5,52.5312,69.4365,0.138986,0,41.1172,-140,0,0
1.4,6,52.5312,69.4808,0.138986,0,41.1172,-140,0,0
1.5,1,4.10624,0.275829,0.0300187,0,41.1172,-140,0,1
1.5,2,10.24,0.921765,0.12,0,41.1172,-140,0,1
1.5,3,10.24,0.844838,0.120018,0,41.1172,-140,0,1
1.5,4,52.5312,118.375,0.138986,0,41.1172,-140,0,1
1.5,5,52.5312,118.137,0.138986,0,41.1172,-140,0,1
1.5,6,52.5312,118.181,0.139021,0,41.1172,-140,0,1
1.6,1,0,0,0,0,41.1172,-140,0,0
1.6,2,10.24,0.921676,0.12,0,41.1172,-140,0,0
1.6,3,10.24,0.844748,0.119982,0,41.1172,-140,0,0
1.6,4,52.4288,167.125,0.139063,0,41.1172,-140,0,0
1.6,5,52.5312,166.932,0.139084,0,41.1172,-140,0,0
1.6,6,52.4288,166.929,0.139028,0,41.1172,-140,0,0
1.7,1,0,0,0,0,41.1172,-140,0,0
1.7,2,10.24,0.92164,0.12,0,41.1172,-140,0,0
1.7,3,10.24,0.84473,0.12,0,41.1172,-140,0,0
1.7,4,52.4288,45.0308,0.522852,0,41.1172,-140,0,0
1.7,5,52.3264,45.3602,0.523637,0,41.1172,-140,0,0
1.7,6,52.5312,45.3034,0.522222,0,41.1172,-140,0,0
1.8,1,0,0,0,0,41.1172,-140,0,0
1.8,2,10.24,0.921694,0.12,0,41.1172,-140,0,0
1.8,3,10.24,0.844802,0.120018,0,41.1172,-140,0,0
1.8,4,52.5312,67.6372,0.138986,0,41.1172,-140,0,0
1.8,5,52.5312,67.4973,0.138986,0,41.1172,-140,0,0
1.8,6,52.4288,67.5905,0.139097,0,41.1172,-140,0,0
1.9,1,10.8339,36.8801,0.774797,0,41.1172,-140,0,0
1.9,2,10.24,0.92798,0.12,0,41.1172,-140,0,0
1.9,3,10.24,0.857445,0.12,0,41.1172,-140,0,0
1.9,4,46.8992,119.478,0.146725,0,41.1172,-140,0,0
1.9,5,46.8992,119.318,0.145415,0,41.1172,-140,0,0
1.9,6,46.8992,119.402,0.146725,0,41.1172,-140,0,0
2,1,10.1888,0.648347,0.0776158,0,41.1172,-140,0,1
2,2,10.24,0.92523,0.12,0,41.1172,-140,0,1
2,3,10.24,0.851891,0.119982,0,41.1172,-140,0,1
2,4,49.2544,173.574,0.143243,0,41.1172,-140,0,1
2,5,49.2544,173.431,0.141996,0,41.1172,-140,0,1
2,6,49.2544,173.49,0.141543,0,41.1172,-140,0,1
2.1,1,10.24,0.275891,0.03,0,41.1172,-140,0,0
2.1,2,10.24,0.921569,0.12,0,41.1172,-140,0,0
2.1,3,10.24,0.844713,0.12,0,41.1172,-140,0,0
2.1,4,52.6336,72.3355,0.548833,0,41.1172,-140,0,0
2.1,5,52.4288,72.8977,0.551018,0,41.1172,-140,0,0
2.1,6,52.4288,72.5294,0.551228,0,41.1172,-140,0,0
2.2,1,10.24,0.275891,0.03,0,41.1172,-140,0,0
2.2,2,10.24,0.921783,0.12,0,41.1172,-140,0,0
2.2,3,10.24,0.84482,0.12,0,41.1172,-140,0,0
2.2,4,52.5312,59.7871,0.138986,0,41.1172,-140,0,0
2.2,5,52.5312,59.6599,0.138986,0,41.1172,-140,0,0
2.2,6,52.6336,59.7526,0.138911,0,41.1172,-140,0,0
2.3,1,10.24,0.275891,0.03,0,41.1172,-140,0,0
2.3,2,10.24,0.921783,0.12,0,41.1172,-140,0,0
2.3,3,10.24,0.84482,0.12,0,41.1172,-140,0,0
2.3,4,52.5312,108.476,0.138986,0,41.1172,-140,0,0
2.3,5,52.5312,108.35,0.138986,0,41.1172,-140,0,0
2.3,6,52.5312,108.489,0.138986,0,41.1172,-140,0,0
2.4,1,10.24,0.275891,0.03,0,41.1172,-140,0,0
2.4,2,10.24,0.921783,0.12,0,41.1172,-140,0,0
2.4,3,10.24,0.84482,0.12,0,41.1172,-140,0,0
2.4,4,52.5312,157.166,0.138986,0,41.1172,-140,0,0
2.4,5,52.5312,157.038,0.138986,0,41.1172,-140,0,0
2.4,6,52.5312,157.178,0.138986,0,41.1172,-140,0,0
2.5,1,9.1136,0.512167,0.0706581,0,41.1172,-140,0,1
2.5,2,10.24,0.921926,0.12,0,41.1172,-140,0,1
2.5,3,10.24,0.844838,0.12,0,41.1172,-140,0,1
2.5,4,52.4288,75.1892,0.522907,0,41.1172,-140,0,1
2.5,5,52.736,74.7434,0.520291,0,41.1172,-140,0,1
2.5,6,52.4288,74.4323,0.522838,0,41.1172,-140,0,1
2.6,1,10.24,0.275891,0.03,0,41.1172,-140,0,0
2.6,2,10.24,0.921873,0.12,0,41.1172,-140,0,0
2.6,3,10.24,0.844909,0.12,0,41.1172,-140,0,0
2.6,4,52.5312,57.7511,0.138986,0,41.1172,-140,0,0
2.6,5,52.5312,57.7958,0.138986,0,41.1172,-140,0,0
2.6,6,52.5312,57.7622,0.138986,0,41.1172,-140,0,0
2.7,1,10.24,0.275891,0.03,0,41.1172,-140,0,0
2.7,2,0.1024,0.91964,0.121786,0,41.1172,-140,0,0
2.7,3,0.07168,0.844386,0.12398,0,41.1172,-140,0,0
2.7,4,63.0784,101.437,0.132468,0,41.1172,-140,0,0
2.7,5,62.976,101.42,0.132468,0,41.1172,-140,0,0
2.7,6,63.0784,101.396,0.132497,0,41.1172,-140,0,0
2.8,1,10.24,0.275891,0.03,0,43.0847,-140,0,0
2.8,2,0,0,0,0,43.0847,-140,0,0
2.8,3,0,0,0,0,43.0847,-140,0,0
2.8,4,21.0944,127.009,0.132004,0,43.0847,-140,0,0
2.8,5,21.0944,126.941,0.132091,0,43.0847,-140,0,0
2.8,6,20.8896,126.896,0.132353,0,43.0847,-140,0,0
2.9,1,10.24,0.275891,0.03,0,41.1172,-140,0,0
2.9,2,10.9261,21.1316,0.485875,0,41.1172,-140,0,0
2.9,3,10.9568,20.9992,0.484873,0,41.1172,-140,0,0
2.9,4,51.5072,225.735,0.274347,0,41.1172,-140,0,0
2.9,5,51.5072,225.686,0.273807,0,41.1172,-140,0,0
2.9,6,51.6096,225.111,0.767248,0,41.1172,-140,0,0
3,1,4.10624,0.275829,0.0300187,0,41.1172,-140,0,1
3,2,10.24,0.921801,0.120054,0,41.1172,-140,0,1
3,3,10.24,0.844784,0.119982,0,41.1172,-140,0,1
3,4,52.4288,25.3875,0.623779,0,41.1172,-140,0,1
3,5,52.5312,25.3827,0.622925,0,41.1172,-140,0,1
3,6,52.5312,25.3511,0.138952,0,41.1172,-140,0,1
3.1,1,0,0,0,0,41.1172,-140,0,0
3.1,2,10.24,0.921623,0.12,0,41.1172,-140,0,0
3.1,3,10.24,0.84473,0.12,0,41.1172,-140,0,0
3.1,4,52.5312,74.1333,0.138986,0,41.1172,-140,0,0
3.1,5,52.3264,74.0818,0.139041,0,41.1172,-140,0,0
3.1,6,52.4288,74.0987,0.139063,0,41.1172,-140,0,0
3.2,1,0,0,0,0,41.1172,-140,0,0
3.2,2,10.24,0.921694,0.12,0,41.1172,-140,0,0
3.2,3,10.24,0.844802,0.120018,0,41.1172,-140,0,0
3.2,4,52.4288,122.901,0.139063,0,41.1172,-140,0,0
3.2,5,52.5312,122.803,0.138986,0,41.1172,-140,0,0
3.2,6,52.5312,122.867,0.139021,0,41.1172,-140,0,0
3.3,1,10.8339,26.4831,0.585761,0,41.1172,-140,0,0
3.3,2,10.24,0.92798,0.12,0,41.1172,-140,0,0
3.3,3,10.24,0.857445,0.12,0,41.1172,-140,0,0
3.3,4,46.8992,174.677,0.145415,0,41.1172,-140,0,0
3.3,5,46.8992,174.622,0.145852,0,41.1172,-140,0,0
3.3,6,46.7968,174.677,0.145514,0,41.1172,-140,0,0
3.4,1,10.24,0.785713,0.12,0,41.1172,-140,0,0
3.4,2,10.24,0.92764,0.12,0,41.1172,-140,0,0
3.4,3,10.24,0.856623,0.12,0,41.1172,-140,0,0
3.4,4,47.2064,52.9504,0.598048,0,41.1172,-140,0,0
3.4,5,47.2064,52.9164,0.598203,0,41.1172,-140,0,0
3.4,6,47.104,52.8381,0.598121,0,41.1172,-140,0,0
3.5,1,10.1888,0.648347,0.0776158,0,41.1172,-140,0,1
