time,flowId,throughput_mbps,delay_ms,jitter_ms,lost_packets,sinr_db,rsrp_dbm,packet_loss_rate
0.5,1,1.03424,45.4691,0.868812,0,-15.1375,-140,0
0.5,2,7.168,47.3564,1.27286,0,-15.1375,-140,0
0.6,1,0.60416,48.3619,2.65675,0,-15.1375,-140,0
0.6,2,7.3728,139.133,1.29236,0,-15.1375,-140,0
0.7,1,10.9875,13.6034,0.192789,0,44.8625,-140,0
0.7,2,170.189,87.6219,0.167107,0,44.8625,-140,0
0.8,1,10.24,0.320531,0.03,0,44.8625,-140,0
0.8,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
0.9,1,10.24,0.320531,0.03,0,44.8625,-140,0
0.9,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
1,1,10.24,0.320531,0.03,0,44.8625,-140,0
1,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
1.1,1,10.24,0.320531,0.03,0,44.8625,-140,0
1.1,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
1.2,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
1.2,2,7.2704,51.4776,1.34775,0,-15.1375,-140,0
1.3,1,0.39936,155.722,5.15092,0,-15.1375,-140,0
1.3,2,7.3728,138.808,1.29069,0,-15.1375,-140,0
1.4,1,10.7008,21.7666,0.285911,0,44.8625,-140,0
1.4,2,138.445,117.752,0.157405,0,44.8625,-140,0
1.5,1,10.24,0.320531,0.03,0,44.8625,-140,0
1.5,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
1.6,1,10.24,0.320531,0.03,0,44.8625,-140,0
1.6,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
1.7,1,10.24,0.320531,0.03,0,44.8625,-140,0
1.7,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
1.8,1,10.24,0.320531,0.03,0,44.8625,-140,0
1.8,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
1.9,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
1.9,2,7.2704,51.6632,1.34945,0,-15.1375,-140,0
2,1,0.256,156.072,7.62661,0,-15.1375,-140,0
2,2,7.3728,138.674,1.28709,0,-15.1375,-140,0
