time,flowId,throughput_mbps,delay_ms,jitter_ms,lost_packets,sinr_db,rsrp_dbm,packet_loss_rate
0.5,1,5.48864,21.5392,0.205385,0,54.4396,-140,0
0.5,2,58.7776,13.1672,0.184594,0,54.4396,-140,0
0.6,1,7.02464,22.8752,0.237085,0,53.7298,-140,0
0.6,2,71.68,13.0857,0.171429,0,53.7298,-140,0
0.7,1,7.36256,20.2957,0.255642,0,53.2823,-140,0
0.7,2,71.68,13.0857,0.171429,0,53.2823,-140,0
0.8,1,6.43072,22.4689,0.234505,0,53.1549,-140,0
0.8,2,71.68,13.0857,0.171429,0,53.1549,-140,0
0.9,1,7.94624,21.1959,0.243033,0,53.6942,-140,0
0.9,2,71.68,13.0857,0.171429,0,53.6942,-140,0
1,1,7.2192,22.0304,0.244912,0,53.9022,-140,0
1,2,71.68,13.0857,0.171429,0,53.9022,-140,0
1.1,1,8.32512,20.8757,0.229764,0,53.7767,-140,0
1.1,2,71.68,13.0857,0.171429,0,53.7767,-140,0
1.2,1,9.4208,16.6103,0.196804,0,53.4611,-140,0
1.2,2,71.68,13.0857,0.171429,0,53.4611,-140,0
1.3,1,9.8304,17.51,0.205072,0,54.9317,-140,0
1.3,2,71.68,13.0857,0.171429,0,54.9317,-140,0
1.4,1,8.1408,20.0866,0.220919,0,54.0194,-140,0
1.4,2,71.68,13.0857,0.171429,0,54.0194,-140,0
1.5,1,6.56384,21.9456,0.23085,0,54.4829,-140,0
1.5,2,71.68,13.0857,0.171429,0,54.4829,-140,0
1.6,1,7.08608,22.69,0.253982,0,54.457,-140,0
1.6,2,71.68,13.0857,0.171429,0,54.457,-140,0
1.7,1,7.13728,22.6787,0.232653,0,54.6708,-140,0
1.7,2,71.68,13.0857,0.171429,0,54.6708,-140,0
1.8,1,7.4752,22.2468,0.218125,0,55.1704,-140,0
1.8,2,71.68,13.0857,0.171429,0,55.1704,-140,0
1.9,1,8.89856,18.7822,0.223344,0,54.4239,-140,0
1.9,2,71.68,13.0857,0.171429,0,54.4239,-140,0
2,1,9.14432,18.3544,0.213397,0,54.5549,-140,0
2,2,71.68,13.0857,0.171429,0,54.5549,-140,0
2.1,1,9.76896,18.0614,0.207072,0,54.7987,-140,0
2.1,2,71.68,13.0857,0.171429,0,54.7987,-140,0
2.2,1,10.1581,16.6892,0.192077,0,54.3589,-140,0
